M/Z,Intensity
52.690896,7.1078431
52.838254,7.124183
52.985834,7.1470588
53.133635,7.124183
53.281658,7.1078431
53.429902,7.1405229
53.578368,7.124183
53.727055,7.1437908
53.875964,7.1045752
54.025095,7.1013072
54.174447,7.124183
54.32402,7.1405229
54.473816,7.1405229
54.623832,7.120915
54.774071,7.1601307
54.924531,7.1437908
55.075212,7.1732026
55.226115,7.1535948
55.37724,7.1568627
55.528586,7.127451
55.680154,7.130719
55.831943,7.1176471
55.983954,7.127451
56.136186,7.1111111
56.28864,7.1078431
56.441316,7.1176471
56.594213,7.1339869
56.747332,7.1503268
56.900672,7.1666667
57.054234,7.1568627
57.208017,7.1437908
57.362022,7.1339869
57.516249,7.130719
57.670697,7.1339869
57.825366,7.120915
57.980258,7.120915
58.13537,7.1405229
58.290705,7.1176471
58.446261,7.1176471
58.602038,7.130719
58.758037,7.1339869
58.914258,7.1535948
59.0707,7.1405229
59.227364,7.1633987
59.384249,7.1666667
59.541356,7.1633987
59.698684,7.1470588
59.856234,7.130719
60.014006,7.1797386
60.171999,7.1437908
60.330214,7.127451
60.48865,7.127451
60.647308,7.1143791
60.806187,7.1143791
60.965288,7.1437908
61.124611,7.1176471
61.284155,7.1013072
61.44392,7.1830065
61.603908,7.1732026
61.764116,7.1732026
61.924547,7.1503268
62.085199,7.1895425
62.246072,7.1830065
62.407167,7.1470588
62.568484,7.2222222
62.730022,7.2385621
62.891782,7.2222222
63.053763,7.1633987
63.215966,7.1699346
63.37839,7.1764706
63.541036,7.1405229
63.703904,7.1699346
63.866993,7.1699346
64.030304,7.1895425
64.193836,7.130719
64.35759,7.1503268
64.521565,7.2679739
64.685762,7.251634
64.850181,7.1699346
65.014821,7.1437908
65.179682,7.2058824
65.344765,7.1764706
65.51007,7.2026144
65.675597,7.1830065
65.841344,7.2189542
66.007314,7.1633987
66.173505,7.1895425
66.339918,7.1764706
66.506552,7.2124183
66.673407,7.3039216
66.840485,7.1928105
67.007784,7.2058824
67.175304,7.1666667
67.343046,7.2026144
67.51101,7.2124183
67.679195,7.2124183
67.847601,7.2222222
68.01623,7.1895425
68.185079,7.1797386
68.354151,7.2385621
68.523444,7.2647059
68.692958,7.2058824
68.862694,7.2745098
69.032652,7.2091503
69.202831,7.1928105
69.373232,7.1503268
69.543854,7.1830065
69.714698,7.1699346
69.885764,7.2320261
70.057051,7.2908497
70.228559,7.2058824
70.400289,7.2189542
70.572241,7.2679739
70.744414,7.2810458
70.916809,7.1928105
71.089426,7.2941176
71.262264,7.3006536
71.435323,7.2189542
71.608604,7.1764706
