M/Z,Intensity
56.441316,7.1470588
56.594213,7.1372549
56.747332,7.124183
56.900672,7.127451
57.054234,7.1372549
57.208017,7.1699346
57.362022,7.1601307
57.516249,7.2156863
57.670697,7.1862745
57.825366,7.1797386
57.980258,7.251634
58.13537,7.1928105
58.290705,7.1830065
58.446261,7.2124183
58.602038,7.1732026
58.758037,7.1699346
58.914258,7.1699346
59.0707,7.1470588
59.227364,7.1895425
59.384249,7.1699346
59.541356,7.2581699
59.698684,7.2124183
59.856234,7.2810458
60.014006,7.2679739
60.171999,7.2679739
60.330214,7.2287582
60.48865,7.1862745
60.647308,7.2287582
60.806187,7.1895425
60.965288,7.1830065
61.124611,7.1895425
61.284155,7.2058824
61.44392,7.1797386
61.603908,7.245098
61.764116,7.2418301
61.924547,7.2156863
62.085199,7.1862745
62.246072,7.2124183
62.407167,7.2941176
62.568484,7.2385621
62.730022,7.2385621
62.891782,7.2287582
63.053763,7.2385621
63.215966,7.2418301
63.37839,7.2614379
63.541036,7.2647059
63.703904,7.2091503
63.866993,7.2581699
64.030304,7.2385621
64.193836,7.2745098
64.35759,7.245098
64.521565,7.2091503
64.685762,7.1960784
64.850181,7.1666667
65.014821,7.1535948
65.179682,7.1764706
65.344765,7.2352941
65.51007,7.2875817
65.675597,7.2745098
65.841344,7.2189542
66.007314,7.2156863
66.173505,7.2156863
66.339918,7.2385621
66.506552,7.1862745
66.673407,7.1960784
66.840485,7.1699346
67.007784,7.2026144
67.175304,7.1960784
67.343046,7.2156863
67.51101,7.2026144
67.679195,7.2941176
67.847601,7.2941176
68.01623,7.2777778
68.185079,7.2777778
68.354151,7.3398693
68.523444,7.3496732
68.692958,7.3071895
68.862694,7.2614379
69.032652,7.3496732
69.202831,7.4934633
69.373232,7.2973856
69.543854,7.3104575
69.714698,7.3594771
69.885764,7.3594771
70.057051,7.3267974
70.228559,7.2614379
70.400289,7.245098
70.572241,7.2287582
70.744414,7.251634
70.916809,7.2875817
71.089426,7.1960792
71.262264,7.4901953
71.435323,7.3300654
71.608604,7.2614379
71.782107,7.3562092
71.955831,7.2287582
72.129777,7.2908497
72.303944,7.3267974
72.478333,7.251634
72.652944,7.251634
72.827776,7.3300654
73.002829,7.2843137
73.178105,7.3267974
73.353601,7.2385621
73.52932,7.2124183
73.70526,7.2124183
73.881421,7.1666667
74.057804,7.1862745
74.234409,7.248366
74.411235,7.248366
74.588283,7.2287582
74.765552,7.2124183
74.943043,7.1993464
75.120755,7.2058824
75.298689,7.2614379
75.476845,7.2320261
75.655222,7.2058824
75.83382,7.2614379
76.012641,7.1928105
76.191682,7.1993464
76.370946,7.2941176
76.550431,7.3431373
76.730137,7.2156863
76.910065,7.2647059
77.090215,7.2875817
77.270586,7.2745098
77.451179,7.3169935
77.631993,7.3921569
77.813029,7.496732
77.994286,7.5359477
78.175765,7.4477124
78.357466,7.503268
78.539388,7.4575163
78.721532,7.5163399
78.903897,7.4901961
79.086484,7.4869289
79.269292,7.7875801
79.452322,7.4934649
79.635574,7.6764706
79.819047,7.754902
80.002742,7.718955
80.186658,7.9084959
80.370796,7.6307198
80.555155,7.728759
80.739736,8.1633971
80.924538,7.9084967
81.109563,7.718955
